Day,Scan,Category,Proportion
1,1,Comer,0.5
1,1,Locomoción,0.5
1,2,Afiliativa,0.125
1,2,Comer,0.875
1,3,Comer,0.75
1,3,Locomoción,0.25
1,4,Comer,0.8571428571428571
1,4,Descanso,0.14285714285714285
1,5,Comer,0.75
1,5,Cuidado corporal,0.125
1,5,Descanso,0.125
1,6,Beber,0.375
1,6,Comer,0.5
1,6,Locomoción,0.125
1,7,Comer,0.6666666666666666
1,7,Exploración,0.3333333333333333
1,8,Comer,0.6153846153846154
1,8,Exploración,0.38461538461538464
1,9,Comer,0.42857142857142855
1,9,Exploración,0.42857142857142855
1,9,Locomoción,0.14285714285714285
1,10,Comer,0.21428571428571427
1,10,Descanso,0.21428571428571427
1,10,Exploración,0.2857142857142857
1,10,Locomoción,0.14285714285714285
1,10,Locomoción cola,0.14285714285714285
1,11,Comer,0.5
1,11,Descanso,0.08333333333333333
1,11,Exploración,0.25
1,11,Locomoción cola,0.16666666666666666
1,12,Beber,0.23076923076923078
1,12,Comer,0.15384615384615385
1,12,Descanso,0.15384615384615385
1,12,Exploración,0.15384615384615385
1,12,Locomoción cola,0.23076923076923078
1,12,Rumiación,0.07692307692307693
2,1,Comer,0.07692307692307693
2,1,Cuidado corporal,0.07692307692307693
2,1,Descanso,0.5384615384615384
2,1,Locomoción,0.07692307692307693
2,1,Rumiación,0.23076923076923078
2,2,Comer,0.05263157894736842
2,2,Descanso,0.47368421052631576
2,2,Locomoción cola,0.3684210526315789
2,2,Rumiación,0.10526315789473684
2,3,Beber,0.1111111111111111
2,3,Comer,0.05555555555555555
2,3,Descanso,0.4444444444444444
2,3,Exploración,0.1111111111111111
2,3,Locomoción cola,0.1111111111111111
2,3,Rumiación,0.16666666666666666
2,4,Comer,0.14285714285714285
2,4,Descanso,0.5
2,4,Locomoción cola,0.14285714285714285
2,4,Rumiación,0.21428571428571427
2,5,Afiliativa,0.05555555555555555
2,5,Comer,0.05555555555555555
2,5,Descanso,0.3333333333333333
2,5,Locomoción cola,0.3333333333333333
2,5,Rumiación,0.2222222222222222
2,6,Afiliativa,0.0625
2,6,Comer,0.0625
2,6,Descanso,0.4375
2,6,Exploración,0.0625
2,6,Locomoción cola,0.1875
2,6,Rumiación,0.1875
2,7,Apaciguamiento,0.058823529411764705
2,7,Descanso,0.47058823529411764
2,7,Exploración,0.058823529411764705
2,7,Locomoción cola,0.17647058823529413
2,7,Rumiación,0.23529411764705882
2,8,Comer,0.05263157894736842
2,8,Cuidado corporal,0.05263157894736842
2,8,Descanso,0.3157894736842105
2,8,Exploración,0.10526315789473684
2,8,Locomoción cola,0.2631578947368421
2,8,Rumiación,0.21052631578947367
2,9,Comer,0.16666666666666666
2,9,Descanso,0.4444444444444444
2,9,Locomoción,0.05555555555555555
2,9,Locomoción cola,0.2777777777777778
2,9,Rumiación,0.05555555555555555
2,10,Afiliativa,0.14285714285714285
2,10,Descanso,0.5714285714285714
2,10,Locomoción cola,0.21428571428571427
2,10,Rumiación,0.07142857142857142
2,11,Afiliativa,0.07142857142857142
2,11,Descanso,0.5
2,11,Exploración,0.07142857142857142
2,11,Locomoción cola,0.2857142857142857
2,11,Rumiación,0.07142857142857142
2,12,Descanso,0.4117647058823529
2,12,Locomoción,0.11764705882352941
2,12,Locomoción cola,0.47058823529411764
3,1,Afiliativa,0.09090909090909091
3,1,Cuidado corporal,0.09090909090909091
3,1,Descanso,0.6363636363636364
3,1,Locomoción cola,0.09090909090909091
3,1,Rumiación,0.09090909090909091
3,2,Descanso,0.8
3,2,Locomoción cola,0.1
3,2,Rumiación,0.1
3,3,Autorregulación,0.125
3,3,Descanso,0.4375
3,3,Locomoción cola,0.125
3,3,Rumiación,0.3125
3,4,Afiliativa,0.06666666666666667
3,4,Descanso,0.4666666666666667
3,4,Exploración,0.06666666666666667
3,4,Rumiación,0.4
3,5,Descanso,0.5714285714285714
3,5,Locomoción cola,0.07142857142857142
3,5,Rumiación,0.35714285714285715
3,6,Descanso,0.5
3,6,Exploración,0.07142857142857142
3,6,Rumiación,0.42857142857142855
3,7,Cuidado corporal,0.35714285714285715
3,7,Descanso,0.5
3,7,Locomoción cola,0.07142857142857142
3,7,Rumiación,0.07142857142857142
3,8,Descanso,0.35714285714285715
3,8,Exploración,0.07142857142857142
3,8,Locomoción cola,0.21428571428571427
3,8,Rumiación,0.35714285714285715
3,9,Autorregulación,0.1
3,9,Descanso,0.6
3,9,Locomoción,0.1
3,9,Rumiación,0.2
3,10,Descanso,0.45454545454545453
3,10,Locomoción,0.18181818181818182
3,10,Locomoción cola,0.09090909090909091
3,10,Rumiación,0.2727272727272727
3,11,Agonista,0.14285714285714285
3,11,Apaciguamiento,0.14285714285714285
3,11,Descanso,0.35714285714285715
3,11,Locomoción cola,0.2857142857142857
3,11,Locomoción orejas,0.07142857142857142
3,12,Cuidado corporal,0.0625
3,12,Descanso,0.25
3,12,Exploración,0.125
3,12,Locomoción,0.125
3,12,Locomoción cola,0.375
3,12,Rumiación,0.0625
