Source,Target,Category,Raw_Count,Weighted_Intensity
N2,N5,Agonista,24,5820.0
N2,N5,Agonista,9,2182.5
N2,N7,Agonista,1,242.5
N1,N3,Agonista,2,485.0
N1,N7,Agonista,1,242.5
N3,N4,Agonista,1,242.5
N2,N5,Agonista,1,242.5
N5,N2,Apaciguamiento,1,161.66666666666669
N4,N6,Agonista,1,242.5
N3,N5,Agonista,1,242.5
N2,N5,Agonista,1,242.5
N3,N4,Afiliativa,1,60.625
N3,N1,Afiliativa,1,60.625
N4,N1,Afiliativa,1,60.625
N3,N4,Afiliativa,1,60.625
N3,N6,Agonista,2,485.0
N1,N6,Agonista,1,242.5
N4,N6,Agonista,1,242.5
N1,N4,Agonista,1,242.5
N1,N6,Agonista,1,242.5
N4,N1,Apaciguamiento,1,161.66666666666669
N6,N1,Apaciguamiento,1,161.66666666666669
N7,N4,Apaciguamiento,1,161.66666666666669
N1,N3,Agonista,1,242.5
N1,N6,Agonista,4,970.0
N1,N4,Agonista,1,242.5
N3,N6,Agonista,1,242.5
N4,N6,Afiliativa,2,121.25
N4,N1,Afiliativa,1,60.625
N4,N6,Afiliativa,1,60.625
